,index,ticker,Company name
300,LEG.N,LEG,LEGGETT & PLATT ORD
301,A.N,A,AGILENT TECHNOLOGIES ORD
302,GS.N,GS,THE GOLDMAN SACHS GROUP ORD
303,MET.N,MET,METLIFE ORD
304,WYNN.OQ,WYNN,WYNN RESORTS ORD
305,PSA.N,PSA,PUBLIC STORAGE REIT
306,OGN_w.N,OGN,ORGANON & CO ORD
307,NLSN.N,NLSN,NIELSEN HLDGS PLC
308,BK.N,BK,BANK OF NEW YORK MELLON ORD
309,FAST.OQ,FAST,FASTENAL ORD
310,LDOS.N,LDOS,LEIDOS HOLDINGS INC
311,ORLY.OQ,ORLY,O'REILLY AUTOMOTIVE ORD
312,CSX.OQ,CSX,CSX ORD
313,CFG.N,CFG,CITIZENS FINANCIAL GROUP ORD SHS
314,NI.N,NI,NISOURCE ORD
315,MO.N,MO,ALTRIA GROUP ORD
316,DD.N,DD,DUPONT DE NEMOURS INC ORD
317,AEP.OQ,AEP,AMERICAN ELECTRIC POWER ORD
318,HOLX.OQ,HOLX,HOLOGIC ORD
319,BBY.N,BBY,BEST BUY ORD
320,LHX.N,LHX,L3 HARRIS TECHNOLOGIES ORD
321,APA.OQ,APA,APA CORPORATION ORD
322,IFF.N,IFF,INTL FLAV & FRAG U ORD
323,STT.N,STT,STATE STREET ORD
324,JCI.N,JCI,JOHNSON CONTROLS INTERNATIONAL ORD
325,KSU.N,KSU,KANSAS CITY SOUTHERN ORD
326,FE.N,FE,FIRSTENERGY ORD
327,PNC.N,PNC,PNC FINL SVC ORD
328,VZ.N,VZ,VERIZON COMMUNICATIONS ORD
329,NEM.N,NEM,NEWMONT CORP ORD
330,ROL.N,ROL,ROLLINS ORD
331,KEY.N,KEY,KEYCORP ORD
332,GIS.N,GIS,GENERAL MILLS ORD
333,CMCSA.OQ,CMCSA,COMCAST ORD
334,PFE.N,PFE,PFIZER ORD
335,EIX.N,EIX,EDISON INTERNATIONAL ORD
336,NWS.OQ,NWS,NEWS CORP B
337,MU.OQ,MU,MICRON TECHNOLOGY ORD
338,UPS.N,UPS,UNITED PARCEL SERVICE-CL B ORD
339,TYL.N,TYL,TYLER TECHNOLOGIES ORD
340,UNP.N,UNP,UNION PACIFIC U ORD
341,BAC.N,BAC,BK OF AMERICA CO ORD
342,KMX.N,KMX,CARMAX ORD
343,VIAC.OQ,VIAC,VIACOMCBS INC B ORD
344,IP.N,IP,INTL PAPER ORD
345,MDT.N,MDT,MEDTRONIC PLC
346,MMM.N,MMM,3M ORD
347,CZR.OQ,CZR,CAESARS ENTERTAINMENT INC ORD
348,INTU.OQ,INTU,INTUIT ORD
349,OKE.N,OKE,ONEOK ORD
350,ADP.OQ,ADP,AUTOMATIC DATA PROCESSING ORD
351,EQIX.OQ,EQIX,EQUINIX INC COMMON STOCK REIT
352,CHD.N,CHD,CHURCH AND DWIGHT ORD
353,MTD.N,MTD,METTLER TOLEDO ORD
354,EBAY.OQ,EBAY,EBAY ORD
355,PEG.N,PEG,PUBLIC SRVCE ENT ORD
356,BIIB.OQ,BIIB,BIOGEN INC
357,CTSH.OQ,CTSH,COGNIZANT TECHNOLOGY SOLUTN CL A ORD
358,ALB.N,ALB,ALBEMARLE ORD
359,NCLH.N,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD (ORDINARY) - CONSOLIDATED ISSUE LISTED
360,UDR.N,UDR,UDR REIT
361,DGX.N,DGX,QUEST DIAGNOSTICS ORD
362,CBOE.Z,CBOE,CBOE GLOBAL MARKETS INC ORD
363,ETSY.OQ,ETSY,ETSY INC
364,HIG.N,HIG,HARTFORD FINANCIAL SERVICES GRUP ORD
365,VRSK.OQ,VRSK,VERISK ANALYTICS ORD
366,AMT.N,AMT,AMERICAN TOWER CL A REIT
367,PYPL.OQ,PYPL,PAYPAL HOLDINGS ORD SHS WHEN ISSUED
368,CAG.N,CAG,CONAGRA BRANDS INC ORD
369,UHS.N,UHS,UNIVERSAL HEALTH SERVICES CL B ORD
370,TFX.N,TFX,TELEFLEX ORD
371,SYF.N,SYF,SYNCHRONY FINANCIAL ORD SHS
372,WAT.N,WAT,WATERS ORD
373,INCY.OQ,INCY,INCYTE ORD
374,UNM.N,UNM,UNUM ORD
375,LRCX.OQ,LRCX,LAM RESEARCH ORD
376,IDXX.OQ,IDXX,IDEXX LABORATORIES ORD
377,PPG.N,PPG,PPG INDUSTRIES ORD
378,LKQ.OQ,LKQ,LKQ ORD
379,HES.N,HES,HESS ORD
380,EOG.N,EOG,EOG RESOURCES ORD
381,MAR.OQ,MAR,MARRIOTT INTL A ORD
382,TJX.N,TJX,TJX ORD
383,MNST.OQ,MNST,MONSTER BEVERAGE ORD
384,VMC.N,VMC,VULCAN MATERIALS ORD
385,EW.N,EW,EDWARDS LIFESCIENCES ORD
386,FRC.N,FRC,FIRST REPUBLIC BANK ORD
387,ALL.N,ALL,ALLSTATE ORD
388,BMY.N,BMY,BRISTOL-MYERS SQUIBB ORD
389,APH.N,APH,AMPHENOL CL A ORD
390,HON.OQ,HON,HONEYWELL INTL ORD
391,GPC.N,GPC,GENUINE PARTS ORD
392,MHK.N,MHK,MOHAWK INDUSTRIES ORD
393,MCHP.OQ,MCHP,MICROCHIP TECHNOLOGY ORD
394,CAT.N,CAT,CATERPILLAR ORD
395,PG.N,PG,PROCTERGAMBLE ORD
396,ZTS.N,ZTS,ZOETIS INC
397,STE.N,STE,STERIS ORD
398,AFL.N,AFL,AFLAC ORD
399,CPB.N,CPB,CAMPBELL SOUP ORD
400,PTC.OQ,PTC,PTC INC
401,FITB.OQ,FITB,FIFTH THIRD BANCORP ORD
402,MSI.N,MSI,MOTOROLA SOLUTIONS ORD
403,XEL.OQ,XEL,XCEL ENERGY ORD
404,HSIC.OQ,HSIC,HENRY SCHEIN ORD
405,ITW.N,ITW,ILLINOIS TOOL ORD
406,GPS.N,GPS,THE GAP ORD
407,WST.N,WST,WEST PHARM SVCS ORD
408,ALK.N,ALK,ALASKA AIR GROUP ORD
409,DFS.N,DFS,DISCOVER FINANCIAL SERVICES ORD
410,APTV.N,APTV,APTIV PLC ORD
411,MPC.N,MPC,MARATHON PETROLEUM ORD
412,PGR.N,PGR,PROGRESSIVE ORD
413,ZION.OQ,ZION,ZIONS ORD
414,DISCA.OQ,DISCA,DISCOVERY INC SRS A ORD
415,ICE.N,ICE,INTERCONTINENTAL EXCHANGE INC
416,KMB.N,KMB,KIMBERLY CLARK ORD
417,SWKS.OQ,SWKS,SKYWORKS SOLUTIONS ORD
418,EL.N,EL,ESTEE LAUDER CL A ORD
419,TSLA.OQ,TSLA,TESLA ORD
420,EXR.N,EXR,EXTRA SPACE STORAGE REIT
421,IPGP.OQ,IPGP,IPG PHOTONICS ORD
422,SPGI.N,SPGI,S&P GLOBAL INC ORD
423,ADBE.OQ,ADBE,ADOBE INC ORD
424,ADSK.OQ,ADSK,AUTODESK ORD
425,WRK.N,WRK,WESTROCK ORD SHS WHEN ISSUED
426,WHR.N,WHR,WHIRLPOOL ORD
427,FOXA.OQ,FOXA,FOX CORP CLASS A ORD
428,TT.N,TT,TRANE TECHNOLOGIES PLC ORD
429,TSN.N,TSN,TYSON FOODS ORD
430,AKAM.OQ,AKAM,AKAMAI TECHNOLOGIES ORD
431,LUV.N,LUV,SOUTHWEST AIRLS ORD
432,TSCO.OQ,TSCO,TRACTOR SUPPLY ORD
433,AON.N,AON,AON ORD
434,AMZN.OQ,AMZN,AMAZON.COM INC ORD
435,MS.N,MS,MORGAN STANLEY ORD
436,BRKb.N,BRK.B,BERKSHIRE HATHWAY CL B ORD
437,GOOG.OQ,GOOG,ALPHABET INC-CL C ORD
438,KR.N,KR,KROGER ORD
439,BKNG.OQ,BKNG,BOOKING HOLDINGS ORD
440,STZ.N,STZ,CONSTELLATION BRANDS CL A ORD
441,ABBV.N,ABBV,ABBVIE ORD SHS
442,MA.N,MA,MASTERCARD ORD
443,XOM.N,XOM,EXXON ORD
444,SWK.N,SWK,STANLEY BLACK AND DECKER ORD
445,HRL.N,HRL,HORMEL FOODS ORD
446,INTC.OQ,INTC,INTEL-T ORD
447,TRMB.OQ,TRMB,TRIMBLE INC ORD
448,WBA.OQ,WBA,WALGREENS BOOTS ALLIANCE INC
449,DISCK.OQ,DISCK,DISCOVERY INC SRS C ORD
450,OMC.N,OMC,OMNICOM ORD
451,GLW.N,GLW,CORNING ORD
452,CRM.N,CRM,SALESFORCE.COM ORD
453,SBUX.OQ,SBUX,STARBUCKS-T ORD
454,ATO.N,ATO,ATMOS ENERGY ORD
455,ETR.N,ETR,ENTERGY ORD
456,UA.N,UA,UNDER ARMOUR C
457,HAL.N,HAL,HALLIBURTON ORD
458,TFC.N,TFC,TRUIST FINANCIAL CORP ORD
459,ATVI.OQ,ATVI,ACTIVISION BLIZZARD ORD
460,TAP.N,TAP,MOLSON COORS BREWING NONVTG CL B ORD
461,ABT.N,ABT,ABBOTT LABS ORD
462,V.N,V,VISA INCORPORATION ORD
463,YUM.N,YUM,YUM BRANDS ORD
464,LYV.N,LYV,LIVE NATION ORD
465,JNPR.N,JNPR,JUNIPER NTWRKS ORD
466,RE.N,RE,EVEREST REINSURANCE GROUP ORD
467,FTNT.OQ,FTNT,FORTINET ORD
468,DTE.N,DTE,DTE ENERGY ORD
469,HST.OQ,HST,HOST HOTELS & RESORTS REIT
470,IRM.N,IRM,IRON MOUNTAIN ORD
471,PEAK.N,PEAK,HEALTHPEAK PROPERTIES INC ORD
472,FIS.N,FIS,FIDELITY NATIONAL INFORMATN SVCS ORD
473,DAL.N,DAL,DELTA AIR LINES ORD
474,ROK.N,ROK,ROCKWELL AUTOMAT ORD
475,HBI.N,HBI,HANESBRANDS ORD
476,DOW.N,DOW,DOW INC ORD
477,PPL.N,PPL,PPL ORD
478,NTRS.OQ,NTRS,NORTHERN TRUST ORD
479,VFC.N,VFC,VF ORD
480,ETN.N,ETN,EATON CORP PLC
481,CVX.N,CVX,CHEVRON TEXACO ORD
482,LNC.N,LNC,LINCOLN NATL ORD
483,CI.N,CI,CIGNA ORD
484,ACN.N,ACN,ACCENTURE PLC-A ORD
485,XYL.N,XYL,XYLEM ORD
486,HAS.OQ,HAS,HASBRO ORD
487,ENPH.OQ,ENPH,ENPHASE ENERGY ORD
488,SO.N,SO,SOUTHERN ORD
489,CTLT.N,CTLT,CATALENT INC
490,VNO.N,VNO,VORNADO REALTY TRUST ORD
491,CTXS.OQ,CTXS,CITRIX SYSTEMS ORD
492,DISH.OQ,DISH,DISH NETWORK CORP ORD
493,LUMN.N,LUMN,LUMEN TECHNOLOGIES INC ORD
494,NRG.N,NRG,NRG ENERGY ORD
495,MKTX.OQ,MKTX,MARKETAXESS ORD
496,LMT.N,LMT,LOCKHEED MARTIN ORD
497,DLR.N,DLR,DIGITAL REALTY REIT
498,PSX.N,PSX,PHILLIPS 66 ORD
499,SCHW.N,SCHW,CHARLES SCHWAB ORD
500,DXC.N,DXC,DXC TECHNOLOGY COMPANY ORD
501,SNPS.OQ,SNPS,SYNOPSYS ORD
502,J.N,J,JACOBS ENGINEERING GROUP ORD
503,SIVB.OQ,SIVB,SVB FINANCIAL ORD
504,AVY.N,AVY,AVERY DENNISON ORD
